,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
66,70,1.8354285099731555,1.7263841702539835,1.8894453959388096,1.9455320059589534,1.7368519331995587,2.2171148656560353,2.2103167080796973,2.1005299326228863,2.009417778787851,1.765171821356366
67,71,1.7991893629289866,1.7219468496938921,1.8876081213076588,1.9392935801271192,1.701272907255342,2.1282112516935867,2.1243316535094063,2.1670811854657894,2.0184221040969677,1.7733227537034273
68,72,1.7595294728160702,1.717720910507207,1.8843020261799888,1.932984981377912,1.6822159256097344,2.0607981058399356,2.051832912483483,2.230609223938244,2.02614209932051,1.7773485815070693
69,73,1.718254383678383,1.7137230929923972,1.8793654986692225,1.9266321318416244,1.661655511109962,1.9974607247878322,1.9939191410432955,2.2852362787991103,2.0326141262900523,1.7787034067036651
70,74,1.6767596073270603,1.7099717653310382,1.872634618202879,1.920257798994241,1.668860908544075,1.9642798238968167,1.957036022738706,2.3226647004746446,2.0378864835431387,1.7756548706552218
71,75,1.6376952662214843,1.7064871024048331,1.8639990261499746,1.9138818883224196,1.681371760369646,1.938678438333447,1.9295813392742271,2.3324149968839896,2.042016571145323,1.7700423742689595
72,76,1.6029710013224852,1.7032912577115709,1.853440642436515,1.907521719110304,1.681124546778159,1.935996661932303,1.9009324602935216,2.3035431957754153,2.04506836747356,1.7605084353999334
73,77,1.5728266080706415,1.7004085225246839,1.8410600006180051,1.901192281982215,1.6759429542001196,1.9126654928491613,1.8654726229749252,2.2290384819787437,2.047110231126238,1.7491451342615556
74,78,1.547423427945593,1.6978654638958544,1.8270254698768378,1.8949064776122218,1.6510375016691174,1.8830385023649558,1.8411935916674917,2.113629927750762,2.0482130249853174,1.7348251678119075
75,79,1.527707395070498,1.6956910297563965,1.811569889490515,1.888675336591297,1.6161845984122383,1.859581235276607,1.8263939230648585,1.9831372937464395,2.0484485477735075,1.7196359595628536
76,80,1.515213414307683,1.6939166050447922,1.7949592372807615,1.8825082208619766,1.5827149741232711,1.8396665287821423,1.810563054520573,1.888345457745998,2.0478882506065967,1.702609313918522
77,81,1.5101187136399437,1.6925759972000318,1.7775010024384177,1.8764130074250847,1.5611714801313676,1.8196975256827639,1.792149620702112,1.8929145492691428,2.0466022113231217,1.685667698612387
78,82,1.512554959096652,1.6917053222033007,1.7595393569191462,1.8703962552176134,1.5402941972063122,1.795391904623912,1.7690275395859147,2.0426871965735747,2.044658337131257,1.6680641294490572
79,83,1.52225322644804,1.6913427532717782,1.7413627348287721,1.8644633561849755,1.5355262521198416,1.765198587140407,1.7503458145361361,2.334221332482237,2.0421217657217845,1.6514449570336933
80,84,1.539938200258851,1.6915280829124402,1.7232001354413722,1.8586186716323954,1.5355280368391262,1.74119546666316,1.7218426556743043,2.710595669980422,2.0390544359229725,1.6350979567571877
81,85,1.5640507950826867,1.6923020349476803,1.7052368978229524,1.8528656549627531,1.5272393751063136,1.7109790016096307,1.6995438537316707,3.0906947350161116,2.035514800796195,1.620344515363016
82,86,1.5927246508063209,1.6937052459719233,1.687635245862519,1.8472069618982274,1.5200739647304264,1.6765765324999753,1.6588111645081178,3.4070702920752756,2.031557658428866,1.6064252874347233
83,87,1.6240632598036762,1.695776815349714,1.6705678365341285,1.8416445492523745,1.4997812739261767,1.611922252746151,1.5841546142203629,3.625778375516886,2.0272340783133025,1.5944539352401041
84,88,1.6543776998863873,1.6985522994713176,1.654143509607383,1.8361797632712058,1.4743270845219099,1.5010390794871473,1.4574075509099502,3.744099505759972,2.0225914039108805,1.5837675422950497
85,89,1.685162523771916,1.7020610004091472,1.6384588378978704,1.8308134185056486,1.4704211835674983,1.4243430476049277,1.409636962056457,3.7777988609376596,2.0176733146487003,1.5752433449167134
86,90,1.713014654688536,1.7063223732798067,1.6235791941321474,1.8255458681178591,1.4681060703537152,1.3507500182041283,1.3828510895986248,3.748957534582222,2.012519933097768,1.568399664232965
87,91,1.7452940199331421,1.711341354287633,1.609585136650472,1.8203770664559105,1.493420380677167,1.365060917272135,1.4012707597347838,3.6785764593775934,2.007167965370155,1.5640595777721196
88,92,1.7782935961970168,1.717102399096598,1.5965516652979064,1.8153066246692222,1.525754474728754,1.3970854362737906,1.439840511417374,3.5835205309755733,2.0016508648314297,1.5619066805024995
89,93,1.8151239769075347,1.7235620295076866,1.5845252329323485,1.8103338600716106,1.5859435417979393,1.4496542919827125,1.483003685764156,3.4760448025965354,1.9959990110372887,1.5627014378143533
90,94,1.8526974891825223,1.730639731706378,1.5735405154645663,1.8054578398987882,1.6262086882339875,1.5074073307305322,1.5302608828936002,3.3644480429791317,1.9902398973790991,1.5663222867860587
91,95,1.8856888518157857,1.7382071554726026,1.563615020763872,1.80067742004856,1.6698563360578174,1.5534003340380638,1.5765858302782614,3.254022738579487,1.9843983222670734,1.5734210909869473
92,96,1.9046651656889526,1.746075763411326,1.5547707399508444,1.795991279335551,1.6798726550425014,1.6001029303555059,1.6164584064280592,3.147933819713123,1.9784965798263485,1.583902123491604
93,97,1.9121889525507691,1.7539834140585842,1.5470442452650763,1.7913979497447858,1.693649676368785,1.6466725114406255,1.6568999996450018,3.0479111354717063,1.9725546470286064,1.598344733969675
94,98,1.9055370716437743,1.7615808795538097,1.5404612772920112,1.786895843117649,1.737660717459642,1.6817021986630136,1.6653773346339653,2.954752317813775,1.9665903649760654,1.6167207098355474
95,99,1.8864593729585408,1.7684200396142535,1.5350402066680684,1.782483274663112,1.826403970586206,1.712401047246837,1.6578129699828312,2.8686705675805615,1.9606196126974584,1.6394461430592704
